用户名,关注
东营车管,"['作家陈岚', '思想品读', '10000姐姐', '浪里看综艺', '芝麻开花', '咪咕剧综', '中教在线研究院', '解忧八字命理', '大道讲堂', '八组兔区长', '时代花花幼稚园', '李大颖子呀', '华哥评论', '叫我老伯', '影视剪辑狂', '二胖很爱吃', '聊城交警', '寂寞嫦娥舒广袖', '一白张', '左右军事', '小挣青年', '戴嘉树Jo', '全民图鉴', '小七', '资深娱乐酱', '电影妃', '我的沙雕笔记', '蓝鸥诺', '归了君的日常', 'VUEvlog', '麓森视觉', '抖音', '邵阳县公安', '微博江苏', '吉林警事', '广西交警', '湖北交警', '长沙交警', '宁波交警', '惠州交警', '大立Mikael', '吃瓜一线鹅', '河南交警', '广东交警', 'CCTV看点', '四川交警', '孕女王', 'VFRIENDS', 'FuntouchOS', 'vivo', '微博生活家', '华为终端', '荣耀HONOR', '荣耀智慧生活', '荣耀手机', '微博运动', '微热点研究院', '微博同城达人', '政务新媒体研学中心', '政务应用助理', '小游戏情报站', '今日华尔街', '不做百步青年', '政务风云榜', '亚洲新歌榜', '粉丝群', '中国移动10086', '环球时报', '青岛早报', 'TheGoal目标', '小么哥', '天天_小熊熊_585', '胜利第一实验幼儿园', '东营市民用航空管理局', 'wangnan7891', '娱乐进行时', '东营统计', '中国天气', '青岛交警', '中国警察网', '德州交警', '头条新闻', '春树暮云oo', '东营警眼', '老夫子漫画回忆系列', '凤凰卫视', '热点视频', '青岛公安', '人民日报', '敬一丹', '唱游天下官方微博', '公安部交通管理局', '特种机动队-松江', '央视新闻', '鞍山立山公安', '常山陈云河', '淮安区车管所', '用户2361744760', '泰州戴永锁', '菠萝蜜的大哥', '哈密车管', '江都车管所', '舒城车管所', '兖州区车管所', '平度交警车管所', '音乐迷2011', '是数据', '随香入梦', '级草班花_咸鱼莫', '雪域-天山']"
东营周刊,"['微博数据助手', '杨晨', '聚美优品福利君', '孙怡微博', '胜利油田中心医院', '黄渤', '政务新媒体研学中心', '政务应用助理', '请带一颗葡萄味儿的糖给我', '东营红颜笑', '微博房产', '袁梦Ada', '微博星座', '微博媒体', '东营都市网', '广饶公安', '东营市城市农村共青团工作', '帅气妞妞儿', '中石化胜利钻井工艺研究院', '东营交通', '王爱霞营养师', '最强探路者', '木子阿珠', '红锋带头大哥', '中国石化胜利海洋钻井公司', '宝贝微笑围脖', '印象华莱', '大连老虎滩海洋公园', 'Airbnb爱彼迎', '东营微生活官网', '东营共青团张成仙', '成都女报', '四川广播电视报', '澎湃质量观', '都市快报', '华商报楼市周刊', '用户2257104092', 'iWeekly周末画报', '行周末', '扬子晚报', '银川都市生活读本', '城报', '羊城晚报', '今报时尚生活', '中国石油大学华东微博协会', '胜利油田滨州服务协调中心', '中国石化胜利油田胜利采油厂', '中石化胜利渤海钻井固井公司', '只为自己绽放', '胜利油田胜北社区', '神经内科-胜利油田中心医院', '瞳瞳_55932', '胜利测井公司', '麥玲玲', '余辉落日', '大树_tree78', '一只树懒独居版', '向南三千里', '未来让自己左右', 'WEN大人', '东营SAMA设计事务所', '神盾局的热心市民', '孤岛小休', '东营吃货集中营', '爱妃时尚大码女装', 'loveDXP', '树袋熊xiong', '区三中田功金', '妖刀Coroner', '路壹直都在-', '金浩向前冲', '醉美葉子', '小伙一直清秀', '东营出租车V车队16号', '脚踩大V', '靓仔zxl', '豆瓣电影', '小哥不帅221', '侦探京京', 'WHN楠小妞', '双子1星', 'dyjzlh', '心见泰山', '鱼雁花月', '李开创', '果19853', '查無一介俗咖', '寻找那旮旯里的温暖阳光', '巨蟹座小吃货', '苏萍__Super小超人', '桑愉致', 'OnlyOne花艺生活馆', '山东发布', '沙埠拉基死机', '袁立', '纪续工作室', '平平爱琴海', 'lili521fengss', 'i盛国涛', '宋晓军', '周继生', '何兵', '李亚真--彤彤', '宇宙无敌阿贝小超人', '外交官员', '绝对的庄稼人', '徐仕强东营', '臭粑粑']"
东营同城,"['佛山峰情', '雅诗兰黛', '微博红包', '超级红人节', '微博抽奖平台', '淄博事', '欧阳千里', '瑞波荡漾', '付邦安007', '和光同尘9999999', '豆儿1226', '深圳卫健委', '笔默君', '新浪旅游', '趣味大全', '微博数据助手', '东营交警一大队', '话题', '胜利检测小李子', '同城小秘书', '笠翁侣行', '国家林业和草原局', '山东滨海公安', '送一文静', '呵呵sndx', '微博位置', '疗伤情歌话术', '张小渔的水世界', '小叶子8808', '河检职务犯罪预防', '我爱青岛', '小浪', '新浪山东', '莞尔流年1216', '姜桃杏', '这位同学叫晓雨', '东营港环保分局', '东营港经济开发区团工委', '东营港公安', '东营港经济开发区', '东营经济技术开发区', '粉丝红包', '湖南生活圈', '三湘四水-文旅湖南', '击进的蜗牛', '幸运商店官方微博', '妖怪LW', '快乐猫咪07', '航拍小池', '大众网', '中国网议库', '黑塑料black', 'HW-CC', '一叶知秋-小海', '胜利油田中心医院', '山东省教育厅', '东营经济技术开发区公安', '风尚东营', '城市东营', '东营爆料', '东营检察', '微美食东营', '东营民工', '东营今日', '东营高速交警', '东营仲裁委', '东营政务', '东营司令', '东营市东营区法院', '千一来自大东营', '东营日报社', '东营汽车总站', '大坏蛋的小调皮', '贩困嫌疑人', 'PhotoByZzq', '消防过往', '妙手刘郎中', '怀瑾_济城', '东营中院', '河口小警', '孤岛小休', '一人一视界', '东营职业学院微博协会', '稀有血型牛牛', '东营营草', '两个公子的爸爸', '孙桃子Viky', '东职经济贸易与管理学院宣传站', '广饶公安', '东营职业学院团委', '混在东营', '红领巾sl', '东营职业学院建工学院', '小杜老师说edu', '自媒体大鹏', '空天砺剑', '常山蛇1', '东营环境', '游戏解说王', '东营美食妹', '人民网', '看鉴城市', '教设计的优优', '山东发布', '油城交警', '全东营都在看', '花晴集']"
东营环境,['仅限关注可见']
东营中院,"['微博数据助手', '东营经济技术开发区人民法院', '广饶县法院', '河口法院', '山东省垦利法院', '利津法院', '东营市东营区法院', '山东高法', '最高人民法院']"
烟台发布,"['文博YANTAI', '山东卫视', '80强军号', '青蜂侠Bee', '青蕉视频', '北京日报', '五环短视频', '青流视频', '济南时报', '半月谈', '闪电视频', '爱不辣的番茄', '文博烟台', '中国日报', '山东交警', '中国之声', '连云港发布', '山东速递', '山东广播电视台', '山东交通广播', '中国环境', '新浪山东头条', '山东消防', '烟台大小新闻', '1号线上', '冰山来客1219', '美好发现平台', '烟台政法', '烟台早知道', '嗨烟台', '热血体育番', '鲁东大学', '烟台工程职业技术学院', '山东工商学院', '山东商务职业学院', '烟台高新技术产业开发区', '烟台政务服务', '健康烟台', '烟台市教育局官博', '烟台市人民检察院', '实验室仪器专家有料', '烟台网警巡查执法', '苏格拉底底底底底', '大杰乖猫就是你大胖婶儿', '瞭望东方周刊', '招远环境', '政务应用助理', '掰掰掰掰掰掰掰_', '烟火在远方', '济南公交在线网', '中国国家地理', '烟台日报传媒集团', '文化山东', '海阳印象', '花千芳', '中国气象局', '中国青年网', '健康中国', '经济日报', '新华社', '生命时报', '烟台事', '烟台关注', '网信烟台', '烟台市葡萄与葡萄酒局', '烟台林业_933', '幸福烟台', '青岛发布', '威海发布', '中国铁路', '知烟台', '中国山东网', '招远法院', '烟台齐鲁网', '微店购物城', '风光摄影施', '莱州市公安局', 'sally_sj', '烟台市青年志愿者协会', '蓬莱旅游官方微博', '我的清早', '潍坊发布', '长岛旅游集团有限公司', '烟台交通广播铁鹰', '姜昆先生', '昆嵛山国家森林公园', '政务新媒体研学中心', '新浪旅游', '牟平旅游', '烟台质监', '绿杨山人yjc', '董走召', '烟台交运集团客运分公司']"
今日烟台,"['山东烟台预警发布', '五莲县融媒体中心', '眩晕哥', '剧综bot', '烟台V房产', '文化山东', '烟台早知道', '焦作日报', '传说中的女网警', '烟台广播电视台', '健康山东', '微博借钱服务平台', '金典SATINE', '新浪财经', '德州发布', '我们的太空', '中新视频', '健康烟台', '山东省教育厅', '烟台市教育局官博', '莱阳发布', '山东天气', '载人航天小喇叭', '济南时报', '台之窗', '职场YIYI妈', '头条文章', '果然视频', '烟台市博物馆', '同城小秘书', '蓬莱旅游官方微博', '蓬莱发布', '抖音', '华为终端', '烟台高速交警', '国家电网', '腾讯微信团队', '中国警方在线', '局面', '科学探索', '热血体育番', '烟台网警巡查执法', '荣耀HONOR', '荣耀手机', '演员马丽', '吕一', '中国气象局', '37度梦幻海水乐园', 'iPanda熊猫频道', '五行属二', '微博媒体视频', '健康时报', '山东交警', '中国新闻网', '政务新媒体研学中心', '政务应用助理', '萌叔大卫老师', '互联网女孩安利日记', '神勇小白兎', '博物杂志', '齐鲁晚报-今日泰山', '齐鲁晚报枣庄站', '万合天宜', '热剧班主任', '今日菏泽', '烟台爱尔眼科医院', '英国报姐', '微博视频', '粉丝头条官方微博', '37度梦幻海', '烟台气象', '一蚊丁', '吐槽电影院', '省钱安利社', '中央气象台', '海阳发布', '开开心心顺顺利利平安健康', '风光摄影施', '5老爷', '浙事欣闻', '牟平发布', '乐视影业烟台站', '姜昆先生', '智慧烟台客户端', '烟台身边事', '颜文字君', '黄渤海新区发布', '回忆专用小马甲', '吾皇的白茶', '烟台市自然资源和规划局', '烟台市商务局微博', '澎湃新闻', '烟台共青团', '新浪山东', '烟台爱心流浪动物救助收容中心', '佛朗斯美术馆', '家家悦集团股份有限公司', '烟台万达影城', 'CCTV等着我', '烟台吃货小分队', '六六', '烟台日报社大小新闻', '人物', '碧海文化', '环球时报', 'Camper天祥', '烟台南山学院学生会', '山东商务职业学院', '财新周刊', '南风窗', '天天正能量', '莱州发布', '微博区域', '微博媒体']"
烟台公安,"['四川共青团', '杭州公安', '央视网快看', '云南政法', '四川长安网', '微博会员小秘书', '微博会员', '国家地震紧急救援训练基地', '宁波交警', '大通湖公安分局', '山东消防', '扬州法院', '平安青川', '湖州高速交警', '北京日报都视频', '绵阳司法', '瓮安县检察院', '南方日报', '苏州交警', '成都公安', '四川交警', '红河警方', '平安宜昌', '内蒙古消防', '昆明警方发布', '厦门消防', '佛山禅城公安', '来宾公安', '开封交警', '德州交警', '吉林市公安局', '济宁生态环境', '健康烟台', '微博安全中心', '蓬莱交警大队', '烟台车管', '新浪新闻', '鹤岗南山检察', '泉州交警', '烟台司法行政', '烟台中院', '烟台市人民检察院', '西部决策', '央视网', '成都青白江公安', '合山公安', '山东法制报', '阜新网警巡查执法', '鹤城网警巡查执法', '人民视频', '广西政法', '国家预警发布', '央广网汽车', '淄博高速交警', '黄渤海新区发布', '龙警微博', '乌兰浩特政法', '平安天津', '廊坊公安网络发言人', '央视新闻调查', '赣州公安', '株洲公安', '应急管理部', '四川观察', '芝罘司法', '兰州文化旅游', '北京大兴消防', '云浮消防', '国家移民管理局', '太原工业学院微博协会', '党史网', '南海公安', '惠州交警', '合肥警方', '阿勒泰森林消防', '哈尔滨广厦学院', '微博区域热点', '双流发布', '化小硕', '法治四川', 'WJ111HYFLLY警嫂小陈', '__大R先生', '台州网警巡查执法', '青春山东', '最高人民检察院', '济南市文化和旅游局', '大同消防', '泸州政法', '隆昌警方', '文旅枣庄', '湖北随州交警', '金华交警', '四川警察学院', '平安纳溪', '青春奚滩', '印象来安', '绍兴公安', '平安宝坻', '中国新闻周刊', '乐山消防', '泰安高速交警', '大同共青团', '邯郸公安网络发言人', '青流视频', '潇湘晨报', '天天正能量', '南京发布', '凤凰网', '秦皇岛公安网络发言人', '北京日报', '吉林高速公安长春分局', '沈阳市公安局']"
烟台大学,"['烟台校园', '烟台频道', '青岛校园', '聊城大学', '鲁东大学', '文旅山东', '赵立坚个人微博', '国家反诈中心', '微博VPlus', '英语学习精华', 'Law-灰灰', '党史网', '微博位置', '光明日报', '西安财经大学行知学院', '阅读手册', '微博竞燃之夜', '河南工业大学', '台之窗', '光明网', '微博原创联盟', 'VOA英文口语', '实用干货', '育见新闻', '高校公益传播官', '宋中清主任律师', '山东工商学院', '人民网山东频道', '微博投票', '山科大泰安校区学生会', '吉林铁道职业技术学院', '兰州理工大学', '湖南校园汇', '临沂临港发布', '烟大化学院化182-3团支部', '银川科技学院', '评论内容不可示人的wb狗', '重庆师范大学', '烟大机181-1团支部', '烟台消防', '清北得不到的学生们', '心愿大王', '烟台早知道', '微博任务', '山东财经大学', '东华理工大学', '温酒Petrichor', '山东教育社', '睡前_带你看未来', '南京理工大学紫金学院', '中国海归网', '东营职业学院团委', '山东青年政治学院', '烟台大学外国语学院161-2团支部', '烟台大学环保协会', '临大微拾光', '绿植领养', '青岛农业大学', '北京工业职业技术学院', '微博客服', '微博数据助手', '烟大法学法服', '烟台大学青年志愿者', '青岛滨海学院', '烟台大学图书漂流站', '百城百校音乐会', '上海海事大学', '另起一行AnotherOne', '清南师兄', '天涯共此时邀明月', '青岛科技大学校园微博', '微博抽奖平台', '沈阳城市建设学院', '微博教育', '微博活动', '众达聚媒', '吉林师范大学博达学院', '微博会员小秘书', '许昌学院', '闽南师范大学', '大连大学', '河南科技大学', '沈阳师范大学', '大理大学', '湘潭大学', '青岛科技大学', '中国民航大学', '郑州大学', '爱你的T酱', '烟台大学建筑学院团委', '烟台大学外国语学院团委', '烟大化学院应151-3团支部', '烟台大学物电团委', '烟台大学经济管理学院', '烟大化学化工学院团委', '烟大国交学院团委', '中青报-温暖的BaoBao', '渭南师范学院', '大连理工大学', '山西大学微博协会', '烟台天气预报-天气微博网', '天津理工大学中环信息学院', '今天DY倒闭了吗', '小柳向前看', 'Langley-yu', '阿伦于sir', '河北大学', '烟台大学论坛', '中国青年网', '英文题材', '上海理工大学', '连阿牛牛牛', '山东建筑大学校团委']"
烟台车管,"['天津交警', '微博数据助手', 'LEXUS雷克萨斯官方车友会', 'LEXUS雷克萨斯中国', '平安宁波铁路', '宁波公安', '特斯拉', '安徽省人民政府网', '印象烟台', '南昌火车站', '平安洛阳-西工分局', '龙广官方微博', '榆林交警', '问政山东', '用户7130062957', '1句实话', '人力资源研究', '山东交通广播', '法君说', '烟台质量管理者', '唐山交警', '检察日报', '济南时报', '华为手机', '中国长安网', '微热点研究院', '政务新媒体研学中心', '政务应用助理', '公安部刑侦局', '政务风云榜', '澎湃新闻', '新浪娱乐', '烟台大学论坛', '烟台中院', '我是涂磊', '满会', '草民专家', '港城微闻', '南都凤凰', '胡德平', '胡耀邦史料信息网', '烟台人烟台事', '央视新闻评论', 'yangbaiwei1967', '袁文业', '应天府冷锐平', '早报网', '紫荆树', '黄健翔', 'CCTV焦点访谈', '观媒', '老金曰', '谢文', '陈有西', '陈志武', '评论员曹林', '袁伟时', '丁来峰', '正义网', '微博政务', '华商移民', '东方财富网', '新浪新知', '今日烟台', '淄博交警', '水母论坛', '陈锡添', '我胖胖的微笑', '思想聚焦', '中国日报中文网', '吉林省公安厅交通管理局', '鞍山铁东公安', '日照交警', '17路论坛', '粤事情报站', '平安伊犁', '马鞍山开发区警方', '律师韩德云', '烟台晚报', '烟台微联盟', '王于京', '人民建议', '菏泽鲁西新区警方', '广州铁路公安处', '济宁公安', '宁夏交警', '济南市文化和旅游局']"
烟台交警,['仅限关注可见']
烟台环境,['仅限关注可见']
烟台中院,"['微博数据助手', '黑龙江林区检察', '吉林高速公安长春分局', '公正福山', '龙法之声', '烟台政法', '山东长安网', '紫光阁', '中国长安网', '新华社中国网事', '今日烟台', '微观烟台', '微热点研究院', '人民日报', '济南中院', '青岛市中级人民法院', '烟台高新区法院', '胶东在线', '淄博中院', '公正莱州-莱州法院', '大众网', '烟台发布', '莱山法院', '公正牟平', '最高人民法院', '山东高法', '法治日报', '人民法院报', '烟台开发区法院', '蓬莱法院', '海阳法院', '招远法院', '烟台芝罘法院', '栖霞市法院', '长岛法院', '公正莱阳']"
潍坊交警,"['FFFFu妹', '小奶桔的桔', '壹基金', '游走的猫喵喵', '时间线T_line', '阿妹壮士', '交通发布', '读者·新媒体', '保定市交警', '达州交警', '防范宣传员老陈', '见政潍坊', '屠龙的胭脂井', '中国联通', '温亮律师', 'V新派网', '李正律师', '扫黑风暴官微', '管晨辰gcc', '合肥交警', '二更视频', '几苇渡', '中国科学技术大学', '昌邑公安', '80强军号', '山东广播电视台', '用户7309301934王智涵', '鸢都城事', '潍坊市潍坊事', '山东大院', '恒信君', '市界Pro', '落归聚任', 'Selina0105', '河南博物院', '青州市博物馆', '平安江北', '最高人民检察院', '麦家', '国家反诈中心', '新京报我们视频', '松鼠视频', '中国交通频道', '警察蜀黍TV', '潍坊市交警支队经济大队', '林更新', '微博区域热点', '半山文集', '杜淳', '八卦壹哥', '电视剧以家人之名', '乐山交警', '平安芜湖', '澳门司法警察局', 'CCTV生命线', '微博开放平台', '刘昭在路上', '鲁瑶医生', '牙齿矫正冯静医生', '中里巴人的微博', '眼科小超人老梁', '马相华交通公益', '张文宏医生', '央视社会与法', '矩阵航空Acer31', '中新视频', '人民日报评论', '星球地理探索', '微博数据助手', '亚博曼联赞助商体育', '星球研究所', '浏阳公安', '星探长', '宫星玄', '火焰蓝的担当', '凌云凌公子', '马尾辫小女孩儿', '平度发布', '武汉中心医院', '晚男说', '杭州公安', '时间视频', '世界卫生组织', '道叔bot', '紫牛新闻', '中国妇女报', '饭桶阿龙', '大漠叔叔', '傻子笙歌', '上海交警', '赣州公安', '北京卫视上新了故宫', '亳州警方', '非著名特警', '北海路小闪电', '小警之家', '宋景瑜', '时尚的流天516', '元贝驾考', '央视网', '央视频', '宣城公安在线', '崔严_tz', '扒蒜小妹爱吐槽', '这视频', '微微黄3038', '笑妍honey', '美团外卖', '好车之家', '王竟力', '江宁婆婆', '陈震同学', '宝泉岭人民法院', '珠海交警', '汽车早报', '大冰', '电影拆台君', '泰安公安']"
潍坊晚报,"['威海播报', '淄博市广播电视台', '日照网', '菏泽日报', '东港发布', '潍城环保', '潍坊教育发布', '央视一套', '母婴妈妈育儿说', '新浪河南', '九江消防', '华商报', 'CCTV生活圈', '39度视频', '猛犸新闻', '贰河视频', 'FM93浙江交通之声', 'iPanda熊猫频道', '淄博日报', '淄博文旅', '五环短视频', '四川卫视', '重庆卫视', '河南新闻广播', '锐目视频', 'CCTV法治在线', '微博变现小助手', '微博创作者中心', '021视频', '大皖新闻', '新闻种草官', '微博创作者广告共享计划', '贝果财经', 'Z视介', '紫牛新闻', '鲸视频v', '心事嘴替bot', '浙江日报', '金象视频', '8099999', '大风视频', '厨艺教程', 'BRTV特别关注', '时度视频', '七环视频', '陕视新闻', '铁骥视频', '人民视频', '中国网直播', '大米Video', '新疆是个好地方V', '蓝媒视频官方微博', '湖北文旅之声', '海峡之声', '央视军事报道', '洪观新闻', '环视频', '京报网_北京日报官方网站', 'SMGNEWS', '重庆日报', '新华日报', '苏州日报', '荔枝健康', '西部决策D财经', '荔枝起跑线', '凤凰周刊', '河北广播电视台', '三峡日报', '北京晚报', '潮新闻', '神鸟知讯', '拉呱', '南京广播电视台', '搜狐千里眼', '万像新闻', '新周刊', '中国新闻周刊', '水母网', '中国军号', '国家反诈中心', '四川观察文娱', '警民携手同行', '都市报道', '农民频道', '新京报体育', '小莉帮忙', '牛视频', '正观视频', '百姓关注', '都市时报', 'N视频', '中新视频', '荔枝新闻', '看看新闻KNEWS', '九派新闻', '央广中华之声', '科技日报', '潍坊国际风筝会', '时间财经', 'CCTV焦点访谈', '军事纪实', '山东经济广播', '齐鲁台小溪办事', '鲁中网', '海客新闻', '央视网快看', '鲁中晨报', '大参考', '后浪视频', '财联社APP', '广西新闻频道', '看度新闻', '河南卫视', '北海舰队', '湖南日报', '红星资本局', '看台海', '美丽浙江', '巨流视频', '第一军视']"
潍坊发布,"['鲁网潍坊', 'CCTV朝闻天下', '杨九月美食', '潍坊滨海温德姆至尊温泉度假酒店', '中新视频', '光明日报', '微博企业商业客服', '微博会员小秘书', '鸢都小齐', '赵立坚个人微博', '大众日报', '济南时报', '情书丶心语', '联合国教科文组织', 'N视频', '齐鲁禁毒', '中国禁毒在线', '新华县融', '山东Nini', '用户2118690481', '中国汽车报', '中国能源报', '人民周刊', '人民论坛', '中国经济周刊', '环球网', '人民数字', '人民日报出版社', '135编辑器', '定时微博小助手', '延参法师', '微博原创联盟', '潍坊日报', '侠客岛', '三峡晚报', '北京日报', '武汉发布', '郑州发布', '健康山东', '环球时报', '厚道鲁商', '微博任务', '潍坊医学院', '中央气象台', '工信微报', '潍坊教育发布', '山东畜牧兽医职业学院', '潍坊工作落实', '潍坊市12345政务服务便民热线', '潍坊财政政务', '希望美术教育', '新华社', '鲁能青训', '潍坊国防动员', '潍坊法制', '潍坊市图书馆', '微博钱包', '潍坊国资监管', '潍坊市商务局0536', '华为终端', '潍坊农业农村', '体育观察员', '潍坊生活汇', '央企头条', '微博开放平台', '微博安全中心', '潍坊今日', '潍坊市场监管', '深圳交警', '潍坊滨海精神文明', '潍坊高新传媒', '连云港发布', '包头发布', '昌邑公安', '银川发布', '微博数据助手', '超话社区', '深圳天气', '世界卫生组织', '微博运动', '烟大心连心实践队', '深圳微博发布厅', '寿光市融媒体中心', '中国山东网', '华为终端公司', '微博视频', '中国新闻周刊', '微博会员', '微热点研究院', '公安部儿童失踪信息紧急发布平台', '潍坊乡村旅游网', '潍坊国土资源', 'CCTV-4远方的家', '今日青岛', '青州艺博会', '直播中国', '中国文化旅游杂志社', '央视网', '潍坊一中校友会', '潍坊恒信建设集团官微', '寿光城市管理行政执法大队', '平安北京', '山东诸城法院', '潍坊国际风筝会', '潍坊市水文中心', '潍坊社区网', '淄博警方', '中国城知旅杂志', '联合国', '山东省昌乐二中', '潍坊城事', '潍坊市国土资源局滨海区分局', '微博红包', '山东潍坊经济开发区']"
潍坊公安,"['天府发布', '宇宙冲浪独角兽', '淄博发布', '莎车法院', '共青团青岛市委', 'Fourseasons-四季', '温江司法', '马拓', '北京公交警方', '铜陵公安在线', '安康中院', '忻州中院', '陕西高院', '四川长安网', '中国残联', '未央检察', '南昌消防', '日照网', '绥阳人民检察', '黔南检察', '荔波检察', '晴隆检察', '普安检察', '贵州省人民检察院', '桐梓检察', '成都人社局', '渭南市委政法委', '重庆九龙坡法院', '青白江司法', '当阳检察', '志丹检察', '边城审判', '留坝检察院', '天府新区法院', '鹰潭消防', '日照日报官博', '江北检察', '双桦检察', '三都检察', '宜宾禁毒', '平安利州', '洛川检察', '邵阳市洞口县法院', '阿拉善政法', '通渭检察', '碑林检察', '呼和浩特市检察院', '西湖检察', '定陶检察', '菏泽市牡丹区人民检察院', '凤检之声', '大连金州检察', '平安叙永', '监利检察', '绩溪文旅', '延川检察', '西双版纳检察', '四川残联', '钱塘检察', '望奎检察', '城关发布', '成都地铁运营', '平安青铜峡', '青白江生态环境', '娄底车务段', '成都市场监管', '周至法院', '福建消防', '湖北消防', '成都国际铁路港', '亚布力人民检察', '成都生态环境', '青春龙泉驿', '平安冕宁', '连云港市海州区法院', '平安金阳', '庄浪检察', '温州消防', '鹤北检察', '巫溪县人民法院', '兰溪公安', '重庆轨道交通', '绍兴越城公安', '盐城交警', '台州网警巡查执法', '莱芜发布', '公安县人民检察院', '成都火车站地区公安', '绵阳市经开区分局', '临沂网警巡查执法', '黑龙江省文化和旅游厅', '白河检察', '荆州市检察院', '平安普格', '平安淮安', '成都水务', '江北公安', '福建气象', '扬州消防', '官渡警方', '北京大兴', '安顺公安', '綦江法院', '抚顺检察', '邵阳市大祥法院', '乐山市中区110', '五莲县融媒体中心', '正义蔡甸', '平安天津滨海', '东湖检察', '咸阳检察', '景泰检察', '乐陵交警微博', '新疆消防', '十堰市张湾区人民检察院', '淄博中院', '南宁检察', '延长法院', '麻城市人民检察院']"
潍坊车管,"['微博安全中心', '天津交警', '齐鲁禁毒', '中国禁毒在线', '江苏交通', '小杨的日常-生活', '微热点研究院', '奇葩说官方微博', '政务新媒体研学中心', '政务应用助理', '粉丝群', '唐克空间', '政务风云榜', '潍坊出入境', '粉丝服务平台', '超级无敌巨能吃', '正安交警', 'Shilinda皮具护理', '郯城县国土资源局007', 'TheGoal目标', '杨洋wb', '微博管理员', '新手指南', '新浪手游', '微访谈', '畅通蓝田', '平安渝中', '微山公安', '-江娆-', '人防小卫士', 'LOVE_雷霆', '辽源交警龙山大队', '清风源汇环卫', '潍坊v天气预报', '淄博交警', '平安新蔡', '微博iPhone客户端', '用户3168311835', '微博科技生活', '微博热点', '公安部交通管理局', '日照交警事故科', '第一车区网', '海跃公考', '条子', '白银车管所', '涡阳车管所', '平安平顶山中兴路派出所', '洛阳驾管所', '鞍山铁东公安', '昆山公安', '上海网警', '安丘公安', '南京铁路公安镇江所', '风云榜', '三月记忆摄影工作室', '蚌埠公安特警四大队', '昌邑公安', '平安伊犁', '喵喵小女警', '人民日报', '郎凯辉', '-逐路中原-', '山东移动热点转转赢', '昆明铁路', '南京铁路公安泰州所', '潍城团委', '宿州埇桥公安在线', '蓬莱交警大队', '齐鲁法制网日照站', '普普通通的一员', '山东省中小学生安全教育办公室', '鞍山公安', '大石桥市公安局', '邢台公安网络发言人', '陈sir在线', '福建交警', '老王看交通', '蚌埠铁路公安蚌埠所', '乳山交警大队', '平安乌拉特前旗', '用户1985952432', 'fdshsdfhdsf', '无棣警方', '大连开发区公安', '爱青岛', '壹生尤妮', '安卓资讯进行时', '芊汝baby0612', '威海圈', '称心如意3001', '和谐沪东', '启东市公安局', '宁波高速交警支队', '台州公安', '威海警方在线', '安徽公安交警在线', '全球热门搜罗', '平平安安每一天ABC', '金华公安', '广东消防']"
潍坊文旅,"['槐荫文化旅游', '微博红包', '月亮美术馆MoonArt', '意甲联赛SerieA', '王嘉思懿', '电影灌篮高手', '山西教育杂志社官博', '咸宁网警巡查执法', '临沧政法', '哈尔滨网警巡查执法', '太白检察', '大众网·菏泽', '天津消防', '柳州公安', '张颂文', '永康公安', '白银区检察院', '漯河消防', '郎溪文化旅游', '华夏文旅威海华夏城景区', '指法芬芳张大仙z', '春晚', '咪咕体育', '山东尹帅', '西凤375', '三明消防', '西安气象', '洪泽区法院', '遵义消防', '呼伦贝尔市森林消防', '三秦青年', '马鞍山消防', '南昌共青团', '金湖法院', '新都应急', '普洱消防', '共青团青岛市委', '永州禁毒', '陇南康县发布', '滇池旅游度假区', '成都市青白江区交通运输局', '阳信融媒', '津彩青春', '福建森林消防', '资阳消防', '石家庄校园', '安徽消防', '吉安气象', '梅西LeoMessi10', '吴学宏wu', '当阳检察', '平安青川', '亳州发布', '张家口学院', '环翠发布', '广安区公安', '景德镇消防', '桂林旅游学院微博协会', '平安昭化', '德州环境', '三亚市消防支队', '湖北天气', '包头新闻网', '安徽团省委', '汉阴检察', '锦绣青羊', '甘肃共青团', '福建气象', '法治成都', '重庆公交', '三色定远', '上饶消防', '临泽气象', '河南建筑职业技术学院', '上海建桥学院微博协会', '攀枝花平安西区', '天心警事', '厦门天气在线', '王室小饺子', '成华服务', '乐陵交警微博', '东营网官方微博', '四川长安网', '中国新闻周刊', '安徽气象', '西安检察', '武昌理工学院微博社', '哈尔滨华德学院官博', '青白江商务', '呼和浩特消防', '蓉青清风', '黑龙江省文化和旅游厅', '五莲县融媒体中心', '潍坊市寒亭公证处', '陕西检察', '桂林旅游学院', '马克西姆-Maksim', '彰涵2003', '中国政府网', '生态环保365那些事', '山丹发布', 'CGTN', '张凌赫z', '寒亭融媒', '潍坊市人民检察院', '小猪的视界', '沈阳校园', '南京消防', '平安泸州', '扬州法院', '山东省旅游业商会', '临朐县融媒体中心', '昆明市西山区发布', '陇南网警巡查执法', '诸城公安', '保定校园', '遂川政法', '大庆网警巡查执法', '佳木斯向阳检察', '齐河环境']"
潍坊消防,['仅限关注可见']
